language,model,iteration,id,nloc,ccn,token_count,param_count,length,top_nesting_level,flake8,pylint
english,gpt,0,ClassEval_18::::setitem::,2,1,23,3,12,1,1,6
english,gpt,0,ClassEval_18::_convert_key,2,1,15,2,10,1,1,5
english,gpt,0,ClassEval_18::_to_camel_case,3,2,40,1,11,1,1,4
english,gpt,0,ClassEval_19::generate_primes,10,7,106,1,17,1,2,9
english,gpt,0,ClassEval_19::get_primes,2,1,10,1,9,1,1,5
english,gpt,0,ClassEval_1::calculate_annulus_area,2,1,24,3,11,1,3,5
english,gpt,0,ClassEval_1::calculate_circle_area,2,1,16,1,9,1,2,6
english,gpt,0,ClassEval_1::calculate_cylinder_area,2,1,26,2,10,1,2,7
english,gpt,0,ClassEval_1::calculate_sector_area,2,1,20,2,10,1,1,5
english,gpt,0,ClassEval_1::calculate_sphere_area,2,1,18,1,9,1,2,6
english,gpt,0,ClassEval_20::add_user,5,2,28,2,16,1,2,6
english,gpt,0,ClassEval_20::get_messages,4,2,25,2,15,1,4,9
english,gpt,0,ClassEval_20::remove_user,5,2,26,2,17,1,3,7
english,gpt,0,ClassEval_20::send_message,7,3,97,4,21,1,6,13
english,gpt,0,ClassEval_21::add_course,3,3,31,2,9,1,3,8
english,gpt,0,ClassEval_21::check_course_conflict,9,4,83,2,18,1,10,13
english,gpt,0,ClassEval_21::is_free_at,8,3,62,2,19,1,7,9
english,gpt,0,ClassEval_21::remove_course,3,2,23,2,12,1,4,7
english,gpt,0,ClassEval_22::get_all_major,2,2,25,1,10,1,2,5
english,gpt,0,ClassEval_22::get_most_popular_class_in_major,14,6,87,2,26,1,8,8
english,gpt,0,ClassEval_22::get_students_by_major,2,3,28,2,12,1,2,5
english,gpt,0,ClassEval_22::register_class,5,2,45,3,15,1,3,8
english,gpt,0,ClassEval_22::register_student,6,2,29,2,9,1,2,8
english,gpt,0,ClassEval_23::_select,7,3,92,5,20,1,9,13
english,gpt,0,ClassEval_23::count,4,3,34,2,12,1,2,7
english,gpt,0,ClassEval_23::count_all,3,2,35,1,10,1,3,6
english,gpt,0,ClassEval_23::select,4,1,40,2,12,1,4,8
english,gpt,0,ClassEval_23::select_all,5,2,48,1,12,1,5,11
english,gpt,0,ClassEval_24::add,4,1,33,2,14,1,2,10
english,gpt,0,ClassEval_24::divide,5,1,70,2,14,1,1,6
english,gpt,0,ClassEval_24::multiply,4,1,49,2,13,1,1,6
english,gpt,0,ClassEval_24::subtract,4,1,33,2,13,1,1,6
english,gpt,0,ClassEval_25::_save_cookies,7,2,37,1,15,1,3,9
english,gpt,0,ClassEval_25::get_cookies,3,1,26,2,12,1,4,7
english,gpt,0,ClassEval_25::load_cookies,7,2,46,1,15,1,4,10
english,gpt,0,ClassEval_26::process_csv_data,10,4,84,3,25,1,3,12
english,gpt,0,ClassEval_26::read_csv,9,3,59,2,17,1,4,8
english,gpt,0,ClassEval_26::write_csv,8,2,49,3,16,1,4,10
english,gpt,0,ClassEval_27::add_currency_rate,4,2,27,3,12,1,2,8
english,gpt,0,ClassEval_27::convert,6,3,54,4,16,1,1,8
english,gpt,0,ClassEval_27::get_supported_currencies,2,1,17,1,9,1,1,5
english,gpt,0,ClassEval_27::update_currency_rate,4,2,28,3,13,1,1,7
english,gpt,0,ClassEval_28::create_table,7,1,49,4,15,1,4,7
english,gpt,0,ClassEval_28::delete_from_database,7,1,52,3,13,1,3,6
english,gpt,0,ClassEval_28::insert_into_database,8,2,61,3,17,1,4,8
english,gpt,0,ClassEval_28::search_database,8,2,60,3,17,1,4,6
english,gpt,0,ClassEval_29::mean,2,1,23,2,10,1,2,5
english,gpt,0,ClassEval_29::median,9,2,63,2,17,1,2,6
english,gpt,0,ClassEval_29::mode,5,3,45,2,13,1,2,5
english,gpt,0,ClassEval_2::_convert_type,10,5,66,3,19,1,2,8
english,gpt,0,ClassEval_2::add_argument,4,2,35,4,18,1,4,6
english,gpt,0,ClassEval_2::get_argument,2,1,19,2,11,1,4,6
english,gpt,0,ClassEval_2::parse_arguments,16,6,127,2,27,1,8,16
english,gpt,0,ClassEval_30::get_correlation,2,1,20,1,9,1,2,6
english,gpt,0,ClassEval_30::get_max,2,1,15,1,9,1,2,6
english,gpt,0,ClassEval_30::get_min,2,1,15,1,9,1,2,6
english,gpt,0,ClassEval_30::get_std_deviation,2,1,20,1,9,1,3,6
english,gpt,0,ClassEval_30::get_sum,2,1,15,1,9,1,2,6
english,gpt,0,ClassEval_30::get_variance,2,1,20,1,9,1,3,6
english,gpt,0,ClassEval_31::correlation_coefficient,13,7,159,2,22,1,8,11
english,gpt,0,ClassEval_31::kurtosis,7,4,102,1,15,1,4,8
english,gpt,0,ClassEval_31::pdf,6,2,67,3,15,1,7,11
english,gpt,0,ClassEval_31::skewness,10,5,90,1,17,1,3,7
english,gpt,0,ClassEval_32::caesar_decipher,13,4,99,3,22,1,3,4
english,gpt,0,ClassEval_32::rail_fence_decipher,36,16,239,3,45,1,2,5
english,gpt,0,ClassEval_32::vigenere_decipher,15,4,125,2,23,1,4,6
english,gpt,0,ClassEval_33::BulkItemPromo,2,3,38,1,13,1,5,8
english,gpt,0,ClassEval_33::FidelityPromo,2,2,27,1,13,1,4,7
english,gpt,0,ClassEval_33::LargeOrderPromo,2,2,27,1,13,1,4,7
english,gpt,0,ClassEval_33::due,4,2,31,1,14,1,3,8
english,gpt,0,ClassEval_33::total,2,2,27,1,12,1,2,6
english,gpt,0,ClassEval_34::_get_alignment_value,7,3,32,2,12,1,6,8
english,gpt,0,ClassEval_34::add_heading,8,2,46,3,14,1,5,8
english,gpt,0,ClassEval_34::add_table,11,4,90,2,16,1,4,8
english,gpt,0,ClassEval_34::read_text,9,3,46,1,13,1,3,7
english,gpt,0,ClassEval_34::write_text,11,2,76,4,18,1,7,11
english,gpt,0,ClassEval_35::find_blank,5,4,41,2,13,1,2,5
english,gpt,0,ClassEval_35::get_possible_moves,12,5,68,2,19,1,4,7
english,gpt,0,ClassEval_35::move,12,6,202,3,20,1,9,5
english,gpt,0,ClassEval_35::solve,16,5,135,1,27,1,6,14
english,gpt,0,ClassEval_36::clear_inbox,6,3,32,2,16,1,2,8
english,gpt,0,ClassEval_36::fetch,6,3,31,1,16,1,5,8
english,gpt,0,ClassEval_36::get_occupied_size,2,2,22,1,11,1,2,6
english,gpt,0,ClassEval_36::is_full_with_one_more_email,2,1,20,2,12,1,3,7
english,gpt,0,ClassEval_36::send_to,6,2,72,4,19,1,5,9
english,gpt,0,ClassEval_37::caesar_cipher,13,4,99,3,22,1,4,4
english,gpt,0,ClassEval_37::rail_fence_cipher,21,10,145,3,29,1,1,4
english,gpt,0,ClassEval_37::vigenere_cipher,16,4,105,2,24,1,2,6
english,gpt,0,ClassEval_38::process_excel_data,11,6,128,3,19,1,4,9
english,gpt,0,ClassEval_38::read_excel,11,3,56,2,16,1,3,6
english,gpt,0,ClassEval_38::write_excel,11,3,52,3,26,1,4,6
english,gpt,0,ClassEval_39::_calculate,13,6,67,3,24,1,5,9
english,gpt,0,ClassEval_39::calculate,14,3,99,2,23,1,3,12
english,gpt,0,ClassEval_39::compare,5,2,81,4,20,1,6,10
english,gpt,0,ClassEval_39::is_operator,2,1,24,1,10,1,3,5
english,gpt,0,ClassEval_39::prepare,25,16,218,2,33,1,5,14
english,gpt,0,ClassEval_39::transform,2,1,17,1,10,1,2,5
english,gpt,0,ClassEval_3::count,5,3,36,2,15,1,7,12
english,gpt,0,ClassEval_3::count_all,5,2,33,1,13,1,4,9
english,gpt,0,ClassEval_3::factorial,4,3,28,1,11,1,2,7
english,gpt,0,ClassEval_3::select,4,2,37,2,14,1,5,10
english,gpt,0,ClassEval_3::select_all,7,2,46,1,15,1,4,10
english,gpt,0,ClassEval_40::calculate_calorie_intake,13,4,108,1,20,1,4,15
english,gpt,0,ClassEval_40::condition_judge,15,6,102,1,22,1,2,12
english,gpt,0,ClassEval_40::get_BMI,2,1,16,1,10,1,3,8
english,gpt,0,ClassEval_41::_check_five_in_a_row,15,5,96,4,31,1,7,13
english,gpt,0,ClassEval_41::check_winner,9,6,96,1,19,1,4,11
english,gpt,0,ClassEval_41::make_move,6,3,53,3,19,1,3,9
english,gpt,0,ClassEval_42::book_room,16,6,114,4,37,1,6,19
english,gpt,0,ClassEval_42::check_in,9,5,83,4,25,1,5,13
english,gpt,0,ClassEval_42::check_out,5,2,35,3,18,1,1,7
english,gpt,0,ClassEval_42::get_available_rooms,2,1,19,2,10,1,1,5
english,gpt,0,ClassEval_43::add_employee,6,2,53,6,20,1,5,10
english,gpt,0,ClassEval_43::get_employee,5,2,26,2,16,1,4,9
english,gpt,0,ClassEval_43::list_employees,2,2,31,1,10,1,4,8
english,gpt,0,ClassEval_43::remove_employee,6,2,28,2,17,1,3,9
english,gpt,0,ClassEval_43::update_employee,6,2,38,3,18,1,5,11
english,gpt,0,ClassEval_44::::format_line_feed,2,1,21,1,7,1,2,7
english,gpt,0,ClassEval_44::extract_code_from_html_text,7,4,60,2,25,1,2,5
english,gpt,0,ClassEval_44::format_line_html_text,6,2,65,2,19,1,4,9
english,gpt,0,ClassEval_45::adjust_brightness,4,2,33,2,10,1,3,9
english,gpt,0,ClassEval_45::load_image,2,1,18,2,9,1,3,6
english,gpt,0,ClassEval_45::resize_image,3,2,31,3,14,1,1,6
english,gpt,0,ClassEval_45::rotate_image,3,2,25,2,11,1,1,6
english,gpt,0,ClassEval_45::save_image,3,2,21,2,9,1,1,6
english,gpt,0,ClassEval_46::interpolate_1d,9,4,105,3,20,1,3,9
english,gpt,0,ClassEval_46::interpolate_2d,13,6,256,5,25,1,3,11
english,gpt,0,ClassEval_47::get_binary,5,3,42,1,12,1,3,8
english,gpt,0,ClassEval_47::get_octets,5,2,27,1,12,1,2,8
english,gpt,0,ClassEval_47::is_valid,8,5,53,1,15,1,2,6
english,gpt,0,ClassEval_48::get_hostname,5,2,25,1,13,1,3,6
english,gpt,0,ClassEval_48::is_valid_ipv4,6,2,27,1,16,1,5,9
english,gpt,0,ClassEval_48::is_valid_ipv6,6,2,27,1,16,1,5,8
english,gpt,0,ClassEval_49::get_job_applicants,6,3,37,2,17,1,8,10
english,gpt,0,ClassEval_49::post_job,3,1,35,4,14,1,5,8
english,gpt,0,ClassEval_49::remove_job,2,1,16,2,12,1,3,7
english,gpt,0,ClassEval_49::search_jobs,6,4,48,2,16,1,6,9
english,gpt,0,ClassEval_49::submit_resume,3,1,35,4,15,1,5,7
english,gpt,0,ClassEval_49::withdraw_resume,2,1,16,2,12,1,3,7
english,gpt,0,ClassEval_4::add_course_score,3,2,33,4,13,1,2,6
english,gpt,0,ClassEval_4::add_student,2,1,37,4,11,1,3,5
english,gpt,0,ClassEval_4::get_all_students_with_fail_course,8,4,49,1,15,1,1,5
english,gpt,0,ClassEval_4::get_course_average,8,4,55,2,13,1,2,6
english,gpt,0,ClassEval_4::get_gpa,6,3,45,2,17,1,2,7
english,gpt,0,ClassEval_4::get_top_student,9,4,46,1,19,1,2,6
english,gpt,0,ClassEval_50::process_json,6,3,44,3,20,1,5,9
english,gpt,0,ClassEval_50::read_json,8,3,45,2,16,1,5,9
english,gpt,0,ClassEval_50::write_json,7,2,37,3,18,1,6,9
english,gpt,0,ClassEval_51::fleiss_kappa,7,1,97,4,26,1,8,18
english,gpt,0,ClassEval_51::kappa,7,2,96,2,15,1,10,16
english,gpt,0,ClassEval_52::get_pos_tag,6,2,41,2,15,1,5,9
english,gpt,0,ClassEval_52::lemmatize_sentence,15,5,130,2,25,1,4,13
english,gpt,0,ClassEval_52::remove_punctuation,2,1,26,2,11,1,3,6
english,gpt,0,ClassEval_53::add_word,2,1,16,2,6,1,1,5
english,gpt,0,ClassEval_53::find_longest_word,9,5,56,2,20,1,4,9
english,gpt,0,ClassEval_54::create_board,7,2,80,1,17,1,4,12
english,gpt,0,ClassEval_54::has_path,2,1,12,3,15,1,2,6
english,gpt,0,ClassEval_54::is_game_over,5,4,31,1,16,1,2,5
english,gpt,0,ClassEval_54::is_valid_move,12,7,115,3,25,1,3,16
english,gpt,0,ClassEval_54::remove_icons,5,1,42,3,21,1,1,10
english,gpt,0,ClassEval_55::palindromic_length,8,4,59,4,18,1,4,5
english,gpt,0,ClassEval_55::palindromic_string,21,7,200,1,29,1,4,13
english,gpt,0,ClassEval_56::accuracy,6,2,56,3,15,1,2,12
english,gpt,0,ClassEval_56::f1_score,6,2,55,3,15,1,2,6
english,gpt,0,ClassEval_56::precision,5,2,47,3,14,1,2,10
english,gpt,0,ClassEval_56::recall,5,2,47,3,14,1,2,10
english,gpt,0,ClassEval_56::update,10,10,78,3,19,1,3,10
english,gpt,0,ClassEval_57::map,32,14,234,1,45,1,9,20
english,gpt,0,ClassEval_57::mrr,30,13,227,1,43,1,9,19
english,gpt,0,ClassEval_58::check_won,4,2,40,2,13,1,5,10
english,gpt,0,ClassEval_58::generate_mine_sweeper_map,14,8,166,1,22,1,5,17
english,gpt,0,ClassEval_58::generate_playerMap,2,3,30,1,9,1,2,8
english,gpt,0,ClassEval_58::sweep,8,3,62,3,20,1,5,15
english,gpt,0,ClassEval_59::add_movie,5,1,76,6,19,1,6,12
english,gpt,0,ClassEval_59::available_movies,8,4,67,3,17,1,4,7
english,gpt,0,ClassEval_59::book_ticket,11,5,77,3,25,1,5,6
english,gpt,0,ClassEval_5::display,2,1,15,3,11,1,3,5
english,gpt,0,ClassEval_5::interpret,13,5,112,2,21,1,5,9
english,gpt,0,ClassEval_60::create_table,3,1,21,1,8,1,4,8
english,gpt,0,ClassEval_60::delete_ticket,3,1,28,2,8,1,2,7
english,gpt,0,ClassEval_60::insert_ticket,3,1,39,5,11,1,3,7
english,gpt,0,ClassEval_60::search_tickets_by_customer,3,1,29,2,13,1,3,7
english,gpt,0,ClassEval_61::add_song,2,1,16,2,10,1,1,5
english,gpt,0,ClassEval_61::play,5,2,19,1,15,1,3,8
english,gpt,0,ClassEval_61::previous_song,10,3,50,1,20,1,3,11
english,gpt,0,ClassEval_61::remove_song,3,2,23,2,13,1,2,7
english,gpt,0,ClassEval_61::set_volume,5,2,24,2,14,1,2,5
english,gpt,0,ClassEval_61::shuffle,5,2,23,1,14,1,4,8
english,gpt,0,ClassEval_61::stop,5,2,20,1,14,1,2,6
english,gpt,0,ClassEval_61::switch_song,13,4,74,1,23,1,3,15
english,gpt,0,ClassEval_62::construct_stop_word_list,2,1,14,1,8,1,1,4
english,gpt,0,ClassEval_62::process,3,1,24,2,10,1,2,7
english,gpt,0,ClassEval_62::remove_stop_words,7,4,52,3,15,1,3,4
english,gpt,0,ClassEval_63::calculate_word_frequency,4,3,37,2,11,1,5,8
english,gpt,0,ClassEval_63::process,3,1,23,2,10,1,4,8
english,gpt,0,ClassEval_63::process_data,7,2,48,2,14,1,3,6
english,gpt,0,ClassEval_64::binary_to_decimal,3,1,16,1,10,1,1,4
english,gpt,0,ClassEval_64::decimal_to_binary,3,1,18,1,10,1,1,4
english,gpt,0,ClassEval_64::decimal_to_hex,3,1,18,1,10,1,1,4
english,gpt,0,ClassEval_64::decimal_to_octal,3,1,18,1,10,1,1,4
english,gpt,0,ClassEval_64::hex_to_decimal,3,1,16,1,10,1,1,4
english,gpt,0,ClassEval_64::octal_to_decimal,3,1,16,1,10,1,1,4
english,gpt,0,ClassEval_65::format,2,1,18,2,10,1,3,6
english,gpt,0,ClassEval_65::format_string,27,12,274,2,35,1,4,13
english,gpt,0,ClassEval_65::parse_more,2,1,15,2,10,1,2,5
english,gpt,0,ClassEval_65::trans_three,6,3,77,2,14,1,2,10
english,gpt,0,ClassEval_65::trans_two,7,3,55,2,15,1,1,10
english,gpt,0,ClassEval_66::is_hex_char,2,1,10,1,9,1,2,4
english,gpt,0,ClassEval_66::replace,7,2,44,3,18,2,5,8
english,gpt,0,ClassEval_67::add_dish,7,4,57,2,17,1,5,7
english,gpt,0,ClassEval_67::calculate_total,9,2,57,1,20,1,2,7
english,gpt,0,ClassEval_67::checkout,4,2,20,1,16,1,3,8
english,gpt,0,ClassEval_68::get_page,6,3,56,2,16,1,3,11
english,gpt,0,ClassEval_68::get_page_info,5,3,72,2,21,1,3,12
english,gpt,0,ClassEval_68::search,6,3,65,2,19,1,3,8
english,gpt,0,ClassEval_69::extract_text_from_pdfs,8,4,44,1,15,1,2,5
english,gpt,0,ClassEval_69::merge_pdfs,7,2,42,2,16,1,5,6
english,gpt,0,ClassEval_6::get,5,2,53,2,13,1,2,7
english,gpt,0,ClassEval_6::setNum,5,1,31,1,12,1,2,8
english,gpt,0,ClassEval_70::_validate_name,4,3,27,2,9,1,2,5
english,gpt,0,ClassEval_70::_validate_phoneNumber,4,4,36,2,9,1,3,7
english,gpt,0,ClassEval_70::_validate_sex,4,2,28,2,9,1,2,4
english,gpt,0,ClassEval_71::check_win,3,2,30,1,10,1,5,10
english,gpt,0,ClassEval_71::init_game,10,6,116,1,22,1,4,19
english,gpt,0,ClassEval_71::move,19,6,178,2,43,1,12,24
english,gpt,0,ClassEval_72::extract_email,3,1,24,2,11,1,2,6
english,gpt,0,ClassEval_72::findall,2,1,19,3,11,1,4,6
english,gpt,0,ClassEval_72::generate_email_pattern,3,1,11,1,10,1,2,4
english,gpt,0,ClassEval_72::generate_phone_number_pattern,3,1,11,1,10,1,2,4
english,gpt,0,ClassEval_72::generate_split_sentences_pattern,2,1,8,1,9,1,3,5
english,gpt,0,ClassEval_72::match,2,1,22,3,11,1,3,6
english,gpt,0,ClassEval_72::split,2,1,19,3,11,1,4,6
english,gpt,0,ClassEval_72::split_sentences,4,3,43,2,12,1,3,6
english,gpt,0,ClassEval_72::sub,2,1,23,4,12,1,4,6
english,gpt,0,ClassEval_72::validate_phone_number,3,1,24,2,11,1,2,6
english,gpt,0,ClassEval_73::attack,5,2,31,2,14,1,2,5
english,gpt,0,ClassEval_73::gain_exp,5,2,38,2,16,1,3,12
english,gpt,0,ClassEval_73::heal,3,1,24,1,10,1,1,6
english,gpt,0,ClassEval_73::is_alive,2,1,12,1,9,1,1,5
english,gpt,0,ClassEval_73::level_up,8,2,56,1,16,1,3,17
english,gpt,0,ClassEval_74::add_white_list,6,2,31,2,14,1,1,8
english,gpt,0,ClassEval_74::del_white_list,6,2,32,2,15,1,2,8
english,gpt,0,ClassEval_74::recv,7,5,65,2,14,1,6,8
english,gpt,0,ClassEval_74::send,4,4,48,2,11,1,4,7
english,gpt,0,ClassEval_74::show,7,3,30,2,16,1,3,9
english,gpt,0,ClassEval_75::add_item,5,2,50,4,16,1,2,8
english,gpt,0,ClassEval_75::remove_item,6,3,52,3,15,1,2,8
english,gpt,0,ClassEval_75::total_price,5,2,39,1,14,1,2,7
english,gpt,0,ClassEval_75::view_items,2,1,12,1,10,1,1,5
english,gpt,0,ClassEval_76::add_user,6,2,29,2,16,1,3,7
english,gpt,0,ClassEval_76::all_not_signed_in,2,3,25,1,13,1,2,5
english,gpt,0,ClassEval_76::all_signed_in,2,2,23,1,11,1,1,5
english,gpt,0,ClassEval_76::check_sign_in,4,3,28,2,16,1,2,7
english,gpt,0,ClassEval_76::sign_in,5,2,27,2,14,1,3,7
english,gpt,0,ClassEval_77::eat_food,4,1,21,1,14,1,2,8
english,gpt,0,ClassEval_77::move,10,4,104,2,19,1,3,18
english,gpt,0,ClassEval_77::random_food_position,7,3,53,1,11,1,6,16
english,gpt,0,ClassEval_77::reset,5,1,40,1,15,1,2,11
english,gpt,0,ClassEval_78::count_words,2,3,29,2,10,1,3,5
english,gpt,0,ClassEval_78::process_text_file,4,2,35,2,11,1,3,6
english,gpt,0,ClassEval_78::split_sentences,2,1,17,2,10,1,3,6
english,gpt,0,ClassEval_79::delete,3,1,16,2,10,1,1,5
english,gpt,0,ClassEval_79::insert,4,2,42,2,11,1,2,6
english,gpt,0,ClassEval_79::select,9,3,46,3,18,1,4,7
english,gpt,0,ClassEval_79::select_by_age_range,3,1,23,3,12,1,2,5
english,gpt,0,ClassEval_79::select_female_under_age,3,1,21,2,10,1,1,5
english,gpt,0,ClassEval_79::update,4,2,39,3,12,1,6,6
english,gpt,0,ClassEval_7::check_balanced_brackets,12,6,87,1,19,1,3,14
english,gpt,0,ClassEval_7::clear_expr,2,3,34,1,9,1,2,8
english,gpt,0,ClassEval_80::delete,5,3,42,2,13,1,4,4
english,gpt,0,ClassEval_80::insert,5,2,45,2,13,1,1,4
english,gpt,0,ClassEval_80::select,6,4,63,3,15,1,5,4
english,gpt,0,ClassEval_80::update,6,4,65,3,14,1,5,5
english,gpt,0,ClassEval_81::correlation,10,5,110,2,19,1,6,11
english,gpt,0,ClassEval_81::correlation_matrix,10,7,97,1,19,1,5,9
english,gpt,0,ClassEval_81::mean,2,1,16,1,10,1,1,4
english,gpt,0,ClassEval_81::median,10,3,58,1,19,1,2,8
english,gpt,0,ClassEval_81::mode,7,4,50,1,16,1,2,6
english,gpt,0,ClassEval_81::standard_deviation,6,3,51,1,14,1,3,6
english,gpt,0,ClassEval_81::z_score,6,3,43,1,15,1,5,7
english,gpt,0,ClassEval_82::add_stock,6,3,44,2,15,1,4,8
english,gpt,0,ClassEval_82::buy_stock,7,2,41,2,18,1,4,8
english,gpt,0,ClassEval_82::calculate_portfolio_value,5,2,28,1,14,1,3,8
english,gpt,0,ClassEval_82::get_portfolio_summary,4,2,46,1,12,1,4,9
english,gpt,0,ClassEval_82::get_stock_value,2,1,18,2,10,1,3,4
english,gpt,0,ClassEval_82::remove_stock,11,5,73,2,22,1,5,9
english,gpt,0,ClassEval_82::sell_stock,9,5,78,2,21,1,7,9
english,gpt,0,ClassEval_83::create_student_table,7,1,42,1,13,1,4,8
english,gpt,0,ClassEval_83::delete_student_by_name,7,1,49,2,17,1,3,6
english,gpt,0,ClassEval_83::insert_student,7,1,66,2,16,1,6,8
english,gpt,0,ClassEval_83::search_student_by_name,8,1,53,2,16,1,3,7
english,gpt,0,ClassEval_84::process_file,5,1,36,1,17,1,3,7
english,gpt,0,ClassEval_84::read_file,3,1,24,1,13,1,1,6
english,gpt,0,ClassEval_84::read_file_as_json,3,1,25,1,13,1,4,8
english,gpt,0,ClassEval_84::write_file,3,1,26,2,11,1,2,7
english,gpt,0,ClassEval_85::auto_check_conflict,5,5,46,1,15,1,5,14
english,gpt,0,ClassEval_85::auto_set_mode,5,2,27,1,12,1,2,9
english,gpt,0,ClassEval_85::get_mode,2,1,10,1,6,1,1,5
english,gpt,0,ClassEval_85::get_target_temperature,2,1,10,1,8,1,1,5
english,gpt,0,ClassEval_85::set_mode,5,2,29,2,12,1,1,5
english,gpt,0,ClassEval_85::set_target_temperature,2,1,13,2,9,1,1,5
english,gpt,0,ClassEval_85::simulate_operation,11,3,60,1,19,1,4,13
english,gpt,0,ClassEval_86::check_winner,12,7,175,1,21,1,4,18
english,gpt,0,ClassEval_86::is_board_full,5,3,22,1,11,1,1,5
english,gpt,0,ClassEval_86::make_move,6,3,53,3,17,1,2,9
english,gpt,0,ClassEval_87::add_seconds,3,1,29,2,11,1,3,6
english,gpt,0,ClassEval_87::datetime_to_string,2,1,15,2,9,1,1,4
english,gpt,0,ClassEval_87::get_current_date,2,1,15,1,8,1,1,5
english,gpt,0,ClassEval_87::get_current_time,3,1,18,1,10,1,1,6
english,gpt,0,ClassEval_87::get_format_time,3,1,43,7,15,1,2,7
english,gpt,0,ClassEval_87::get_minutes,5,1,50,3,11,1,6,7
english,gpt,0,ClassEval_87::string_to_datetime,2,1,19,2,9,1,2,5
english,gpt,0,ClassEval_88::cos,3,1,33,2,11,1,3,8
english,gpt,0,ClassEval_88::factorial,5,3,32,2,12,1,1,7
english,gpt,0,ClassEval_88::sin,2,1,22,2,9,1,1,6
english,gpt,0,ClassEval_88::tan,2,1,27,2,9,1,1,7
english,gpt,0,ClassEval_88::taylor,6,2,55,3,14,1,2,8
english,gpt,0,ClassEval_89::_generate_cards,2,1,23,1,5,1,2,6
english,gpt,0,ClassEval_89::answer,2,1,15,2,12,1,3,5
english,gpt,0,ClassEval_89::evaluate_expression,5,2,22,2,15,1,2,6
english,gpt,0,ClassEval_89::get_my_cards,3,1,15,1,9,1,2,6
english,gpt,0,ClassEval_8::deposit,5,2,27,2,10,1,2,7
english,gpt,0,ClassEval_8::transfer,7,3,44,3,17,1,2,6
english,gpt,0,ClassEval_8::view_balance,2,1,10,1,5,1,1,5
english,gpt,0,ClassEval_8::withdraw,7,3,39,2,13,1,3,9
english,gpt,0,ClassEval_90::get_fragment,5,2,34,1,12,1,3,6
english,gpt,0,ClassEval_90::get_host,9,3,57,1,16,1,3,6
english,gpt,0,ClassEval_90::get_path,9,3,57,1,16,1,3,6
