id,iter,italian_nloc,italian_ccn,italian_token_count,italian_param_count,italian_length,italian_top_nesting_level,italian_flake8,italian_pylint,english_nloc,english_ccn,english_token_count,english_param_count,english_length,english_top_nesting_level,english_flake8,english_pylint,chinese_nloc,chinese_ccn,chinese_token_count,chinese_param_count,chinese_length,chinese_top_nesting_level,chinese_flake8,chinese_pylint,hindi_nloc,hindi_ccn,hindi_token_count,hindi_param_count,hindi_length,hindi_top_nesting_level,hindi_flake8,hindi_pylint,spanish_nloc,spanish_ccn,spanish_token_count,spanish_param_count,spanish_length,spanish_top_nesting_level,spanish_flake8,spanish_pylint
ClassEval_15::bad_character_heuristic,0,19,6,115,1,27,1,3,17,19,5,107,1,27,1,2,18,20,5,108,1,28,1,2,15,20,5,108,1,28,1,2,15,19,5,107,1,27,1,3,11
ClassEval_15::match_in_pattern,0,5,3,41,2,14,1,3,7,5,3,41,2,14,1,3,7,5,3,41,2,14,1,2,7,5,3,41,2,14,1,2,7,5,3,41,2,14,1,4,7
ClassEval_15::mismatch_in_text,0,5,3,48,2,14,1,4,10,5,3,48,2,14,1,4,10,5,3,48,2,14,1,2,9,5,3,48,2,14,1,3,9,5,3,48,2,14,1,4,10
ClassEval_16::apply_operator,0,12,4,87,3,21,1,3,8,14,6,105,3,23,1,2,9,16,6,117,3,25,1,1,8,12,4,88,3,21,1,2,8,12,4,87,3,21,1,2,8
ClassEval_16::calculate,0,56,34,425,2,64,1,10,20,47,23,285,2,55,1,7,17,45,23,279,2,53,1,6,16,47,23,285,2,57,1,9,20,59,32,400,2,67,1,6,17
ClassEval_16::precedence,0,9,4,41,2,19,1,3,6,9,4,33,2,19,1,3,6,9,4,33,2,19,1,2,5,9,4,41,2,19,1,2,6,9,4,33,2,19,1,3,6
ClassEval_17::add_event,0,2,1,16,2,10,1,3,7,2,1,16,2,10,1,3,7,2,1,16,2,10,1,3,7,2,1,16,2,10,1,3,7,2,1,16,2,10,1,3,7
ClassEval_17::get_available_slots,0,16,4,136,2,25,1,9,10,16,4,143,2,26,1,10,12,16,4,143,2,26,1,10,12,16,4,143,2,25,1,9,11,16,4,143,2,25,1,12,12
ClassEval_17::get_events,0,6,3,43,2,15,1,3,7,6,3,43,2,15,1,3,7,7,5,60,2,16,1,4,8,6,3,43,2,15,1,3,7,10,5,69,2,20,1,6,10
ClassEval_17::get_upcoming_events,0,3,2,41,2,13,1,6,8,3,2,41,2,12,1,5,8,3,2,41,2,14,1,5,9,5,2,41,2,15,1,3,8,14,5,91,2,25,1,7,9
ClassEval_17::is_available,0,7,4,45,3,18,1,8,8,7,4,45,3,17,1,4,7,7,4,45,3,17,1,3,6,7,4,42,3,17,1,4,6,7,4,45,3,17,1,7,7
ClassEval_17::remove_event,0,3,2,23,2,12,1,3,8,3,2,23,2,12,1,3,8,3,2,23,2,12,1,3,8,3,2,23,2,13,1,4,9,3,2,23,2,13,1,4,9
ClassEval_18::::delitem::,0,2,1,20,2,12,1,1,6,2,1,20,2,12,1,1,6,2,1,20,2,12,1,1,6,2,1,20,2,15,1,3,8,2,1,20,2,12,1,1,6
ClassEval_18::::getitem::,0,2,1,20,2,11,1,1,6,2,1,20,2,11,1,1,6,2,1,20,2,11,1,1,6,2,1,20,2,13,1,3,8,2,1,20,2,11,1,1,6
ClassEval_18::::iter::,0,2,1,13,1,12,1,1,5,2,1,13,1,12,1,1,5,2,1,13,1,12,1,1,5,2,1,13,1,12,1,1,5,2,1,13,1,12,1,1,5
ClassEval_18::::len::,0,2,1,13,1,12,1,1,5,2,1,13,1,12,1,1,5,2,1,13,1,12,1,1,5,2,1,13,1,12,1,1,5,2,1,13,1,12,1,1,5
ClassEval_18::::setitem::,0,2,1,23,3,12,1,1,6,2,1,23,3,12,1,1,6,2,1,23,3,12,1,1,6,2,1,23,3,12,1,1,6,2,1,23,3,12,1,1,6
ClassEval_18::_convert_key,0,2,1,15,2,10,1,1,5,2,1,15,2,10,1,1,5,2,1,15,2,10,1,1,5,2,1,15,2,10,1,1,5,2,1,15,2,10,1,1,5
ClassEval_18::_to_camel_case,0,5,3,46,1,13,1,1,4,3,2,40,1,11,1,1,4,5,3,46,1,13,1,1,4,9,4,64,1,17,1,1,4,3,2,40,1,11,1,1,4
ClassEval_19::generate_primes,0,11,7,116,1,19,1,3,11,10,5,67,1,18,1,3,9,19,9,148,1,27,1,2,14,11,7,116,1,19,1,3,11,11,7,116,1,19,1,3,11
ClassEval_19::get_primes,0,2,1,10,1,10,1,2,6,2,1,10,1,10,1,2,6,2,1,10,1,10,1,2,6,2,1,10,1,10,1,2,6,2,1,10,1,10,1,2,6
ClassEval_1::calculate_annulus_area,0,2,1,24,3,10,1,2,5,2,1,24,3,10,1,2,5,2,1,24,3,10,1,2,5,2,1,24,3,12,1,5,7,2,1,24,3,10,1,2,5
ClassEval_1::calculate_circle_area,0,2,1,16,1,9,1,2,6,2,1,16,1,9,1,2,6,2,1,16,1,9,1,2,6,2,1,16,1,9,1,2,6,2,1,16,1,9,1,2,6
ClassEval_1::calculate_cylinder_area,0,2,1,26,2,10,1,2,7,2,1,26,2,10,1,2,7,2,1,26,2,10,1,2,7,2,1,26,2,10,1,2,7,2,1,26,2,10,1,2,7
ClassEval_1::calculate_sector_area,0,2,1,20,2,10,1,1,5,2,1,20,2,10,1,1,5,2,1,20,2,10,1,1,5,2,1,20,2,12,1,3,7,2,1,20,2,10,1,1,5
ClassEval_1::calculate_sphere_area,0,2,1,18,1,9,1,2,6,2,1,18,1,9,1,2,6,2,1,18,1,9,1,2,6,2,1,18,1,11,1,4,8,2,1,18,1,9,1,2,6
ClassEval_20::add_user,0,5,2,28,2,17,1,3,7,5,2,28,2,17,1,3,7,5,2,28,2,17,1,2,7,5,2,28,2,17,1,3,7,5,2,28,2,17,1,3,8
ClassEval_20::get_messages,0,4,2,26,2,16,1,5,10,4,2,26,2,16,1,5,10,4,2,26,2,16,1,5,9,4,2,26,2,16,1,5,10,4,2,26,2,16,1,5,10
ClassEval_20::remove_user,0,6,2,28,2,18,1,3,8,5,2,26,2,17,1,3,7,5,2,26,2,17,1,2,7,5,2,26,2,17,1,3,7,5,2,26,2,17,1,3,8
ClassEval_20::send_message,0,8,3,84,4,22,1,5,12,8,3,84,4,22,1,5,12,8,3,84,4,22,1,4,11,8,3,84,4,22,1,5,12,7,3,81,4,21,1,5,12
ClassEval_21::add_course,0,3,2,24,2,9,1,4,6,3,2,24,2,9,1,3,7,3,2,24,2,9,1,2,6,3,2,24,2,9,1,3,7,3,2,24,2,9,1,4,6
ClassEval_21::check_course_conflict,0,9,4,83,2,18,1,10,13,9,4,83,2,18,1,10,13,9,4,83,2,18,1,7,10,9,4,83,2,18,1,10,13,9,4,83,2,18,1,10,13
ClassEval_21::is_free_at,0,8,3,62,2,19,1,7,11,8,3,62,2,19,1,7,9,8,3,62,2,19,1,5,8,8,3,62,2,21,1,9,11,8,3,62,2,19,1,7,9
ClassEval_21::remove_course,0,3,2,23,2,10,1,4,6,3,2,23,2,10,1,4,7,3,2,23,2,10,1,3,6,3,2,23,2,10,1,4,7,3,2,23,2,10,1,5,6
ClassEval_22::get_all_major,0,5,2,32,1,13,1,2,5,5,2,32,1,13,1,2,5,5,2,32,1,13,1,2,5,6,3,37,1,14,1,2,5,5,2,32,1,13,1,2,5
ClassEval_22::get_most_popular_class_in_major,0,11,5,77,2,23,1,11,9,11,5,88,2,23,1,9,9,14,6,81,2,26,1,6,7,11,5,77,2,23,1,9,9,11,5,77,2,23,1,10,9
ClassEval_22::get_students_by_major,0,6,3,38,2,16,1,1,5,6,3,38,2,16,1,1,5,6,3,38,2,16,1,1,5,6,3,38,2,16,1,1,5,6,3,38,2,16,1,1,5
ClassEval_22::register_class,0,6,3,56,3,16,1,4,9,6,3,56,3,16,1,3,9,6,3,56,3,16,1,3,9,6,3,56,3,16,1,3,9,6,3,56,3,16,1,4,9
ClassEval_22::register_student,0,6,3,38,2,9,1,2,7,6,3,38,2,9,1,2,7,6,3,38,2,9,1,1,7,6,3,38,2,9,1,2,7,6,3,38,2,9,1,2,7
ClassEval_23::_select,0,9,3,102,5,22,1,8,13,9,3,102,5,22,1,9,13,9,3,102,5,22,1,6,13,9,3,102,5,22,1,7,13,9,3,102,5,22,1,8,13
ClassEval_23::count,0,9,5,66,2,17,1,1,6,9,5,66,2,17,1,1,6,9,5,66,2,17,1,1,6,2,1,23,2,12,1,4,10,9,5,66,2,17,1,1,6
ClassEval_23::count_all,0,9,3,59,1,16,1,3,8,11,4,66,1,18,1,3,8,9,3,59,1,16,1,2,7,9,3,62,1,16,1,3,8,9,3,59,1,16,1,3,8
ClassEval_23::select,0,7,3,60,2,16,1,5,11,6,3,57,2,14,1,4,9,6,3,57,2,15,1,5,10,7,3,60,2,16,1,5,11,7,3,60,2,15,1,4,9
ClassEval_23::select_all,0,5,2,48,1,12,1,5,11,6,2,51,1,13,1,5,12,5,2,48,1,12,1,4,10,7,2,54,1,14,1,5,12,5,2,48,1,12,1,5,11
ClassEval_24::add,0,4,1,33,2,14,1,2,7,4,1,33,2,14,1,2,7,4,1,33,2,14,1,2,7,4,1,33,2,14,1,2,7,4,1,33,2,14,1,2,7
ClassEval_24::divide,0,5,1,70,2,15,1,2,7,7,2,80,2,17,1,2,7,5,1,70,2,15,1,2,7,7,2,80,2,17,1,2,7,7,2,80,2,17,1,2,7
ClassEval_24::multiply,0,4,1,49,2,14,1,2,7,4,1,49,2,14,1,2,7,4,1,49,2,14,1,2,7,4,1,49,2,14,1,2,7,4,1,49,2,14,1,2,7
ClassEval_24::subtract,0,4,1,33,2,14,1,2,7,4,1,33,2,14,1,2,7,4,1,33,2,14,1,2,7,4,1,33,2,14,1,2,7,4,1,33,2,14,1,2,7
ClassEval_25::_save_cookies,0,7,2,37,1,16,1,4,11,7,2,37,1,16,1,4,10,7,2,37,1,15,1,2,9,7,2,37,1,16,1,4,11,7,2,37,1,16,1,4,11
ClassEval_25::get_cookies,0,6,2,34,2,15,1,4,8,6,3,41,2,15,1,4,8,6,3,41,2,14,1,2,7,6,3,41,2,15,1,5,8,6,3,41,2,15,1,4,8
ClassEval_25::load_cookies,0,7,2,46,1,15,1,4,10,7,2,46,1,15,1,4,10,7,2,45,1,15,1,4,10,7,2,46,1,15,1,4,10,7,2,45,1,15,1,4,10
ClassEval_26::process_csv_data,0,17,6,116,3,33,1,3,8,22,6,132,3,37,1,3,9,18,7,142,3,33,1,3,10,21,6,149,3,41,1,7,14,19,6,143,3,34,1,6,12
ClassEval_26::read_csv,0,9,3,63,2,17,1,5,8,12,3,79,2,20,1,4,7,9,3,63,2,17,1,3,8,9,3,63,2,17,1,4,8,12,3,79,2,20,1,5,7
ClassEval_26::write_csv,0,8,2,49,3,16,1,4,10,8,2,47,3,16,1,3,8,8,2,47,3,16,1,3,8,9,2,54,3,17,1,3,9,8,2,47,3,16,1,3,8
ClassEval_27::add_currency_rate,0,4,2,27,3,13,1,3,8,4,2,27,3,13,1,2,8,4,2,27,3,13,1,1,7,4,2,27,3,13,1,2,8,4,2,27,3,13,1,3,8
ClassEval_27::convert,0,6,3,54,4,16,1,1,8,6,3,54,4,16,1,1,8,6,3,54,4,16,1,1,8,6,3,54,4,16,1,1,8,6,3,54,4,16,1,1,8
ClassEval_27::get_supported_currencies,0,2,1,17,1,9,1,1,5,2,1,17,1,9,1,1,5,2,1,17,1,9,1,1,5,2,1,17,1,9,1,1,5,2,1,17,1,9,1,1,5
ClassEval_27::update_currency_rate,0,4,2,28,3,13,1,2,7,4,2,28,3,13,1,1,7,4,2,28,3,13,1,1,7,4,2,28,3,13,1,1,7,4,2,28,3,13,1,2,7
ClassEval_28::create_table,0,7,1,49,4,15,1,4,7,7,1,49,4,15,1,4,7,7,1,49,4,15,1,3,7,7,1,49,4,15,1,4,7,7,1,49,4,15,1,4,7
ClassEval_28::delete_from_database,0,17,4,100,3,23,1,4,6,15,4,95,3,21,1,3,6,7,1,52,3,13,1,2,6,7,1,52,3,13,1,3,6,7,1,52,3,13,1,4,6
ClassEval_28::insert_into_database,0,13,7,121,3,22,1,5,7,11,2,91,3,20,1,4,7,13,6,115,3,22,1,3,7,11,3,90,3,20,1,4,7,13,6,111,3,22,1,5,7
ClassEval_28::search_database,0,8,2,60,3,17,1,4,7,8,2,60,3,17,1,4,6,8,2,60,3,16,1,2,6,8,2,60,3,17,1,4,7,8,2,60,3,17,1,4,7
ClassEval_29::mean,0,4,2,31,2,12,1,2,4,4,2,31,2,12,1,2,5,4,2,31,2,12,1,1,4,4,2,31,2,14,1,4,7,4,2,31,2,12,1,2,5
ClassEval_29::median,0,8,2,49,2,16,1,2,5,8,2,49,2,16,1,2,6,8,2,49,2,16,1,1,5,8,2,49,2,18,1,4,7,8,2,49,2,16,1,2,6
ClassEval_29::mode,0,7,4,55,2,15,1,3,5,7,4,55,2,15,1,2,5,7,4,55,2,15,1,3,5,7,4,55,2,17,1,4,7,7,4,55,2,15,1,3,5
ClassEval_2::_convert_type,0,7,3,40,3,16,1,3,7,7,3,40,3,16,1,2,7,7,3,40,3,16,1,1,6,22,9,122,3,31,1,3,10,7,3,40,3,16,1,3,7
ClassEval_2::add_argument,0,4,2,35,4,18,1,6,7,4,2,35,4,18,1,4,6,4,2,35,4,18,1,1,6,4,2,35,4,18,1,4,7,4,2,35,4,18,1,5,7
ClassEval_2::get_argument,0,2,1,17,2,11,1,4,6,2,1,19,2,11,1,4,6,2,1,19,2,11,1,2,5,2,1,17,2,11,1,3,5,2,1,19,2,11,1,3,6
ClassEval_2::parse_arguments,0,32,11,238,2,43,1,8,19,31,9,245,2,42,1,9,15,34,11,247,2,45,1,4,11,39,14,310,2,50,1,10,16,32,11,238,2,43,1,8,20
ClassEval_30::get_correlation,0,8,4,87,1,15,1,5,12,6,2,57,1,13,1,3,9,5,2,46,1,12,1,2,8,5,2,46,1,12,1,2,8,9,4,91,1,16,1,4,13
ClassEval_30::get_max,0,2,1,15,1,9,1,2,6,2,1,15,1,9,1,2,6,2,1,15,1,9,1,2,6,2,1,15,1,9,1,2,6,2,1,15,1,9,1,2,6
ClassEval_30::get_min,0,2,1,15,1,9,1,2,6,2,1,15,1,9,1,2,6,2,1,15,1,9,1,2,6,2,1,15,1,9,1,2,6,2,1,15,1,9,1,2,6
ClassEval_30::get_std_deviation,0,2,1,20,1,9,1,3,6,2,1,20,1,9,1,3,6,2,1,20,1,9,1,2,6,2,1,20,1,9,1,2,6,2,1,20,1,9,1,3,7
ClassEval_30::get_sum,0,2,1,15,1,9,1,2,6,2,1,15,1,9,1,2,6,2,1,15,1,9,1,2,6,2,1,15,1,9,1,2,6,2,1,15,1,9,1,2,6
ClassEval_30::get_variance,0,2,1,20,1,9,1,2,6,2,1,20,1,9,1,3,6,2,1,20,1,9,1,2,6,2,1,20,1,9,1,2,6,2,1,20,1,9,1,3,6
ClassEval_31::correlation_coefficient,0,11,6,130,2,20,1,6,9,13,7,140,2,22,1,6,9,11,7,131,2,20,1,6,9,13,7,140,2,22,1,6,9,13,7,140,2,22,1,7,9
ClassEval_31::kurtosis,0,11,5,89,1,19,1,2,7,11,5,88,1,19,1,3,7,11,5,88,1,19,1,3,7,11,5,89,1,18,1,1,6,11,5,89,1,19,1,2,7
ClassEval_31::pdf,0,10,3,83,3,19,1,6,10,10,3,83,3,19,1,6,10,10,3,83,3,19,1,4,9,10,3,83,3,20,1,6,10,10,3,83,3,20,1,7,11
ClassEval_31::skewness,0,12,5,95,1,20,1,5,9,16,6,127,1,23,1,5,9,11,5,92,1,19,1,6,9,12,5,95,1,19,1,4,8,15,6,123,1,23,1,6,11
ClassEval_32::caesar_decipher,0,9,4,68,3,19,1,3,5,9,4,68,3,19,1,2,5,9,4,68,3,19,1,2,5,9,4,68,3,20,1,4,6,9,4,68,3,19,1,2,5
ClassEval_32::rail_fence_decipher,0,39,17,237,3,49,1,3,7,38,17,246,3,48,1,3,6,39,17,237,3,49,1,2,7,38,17,246,3,48,1,4,6,26,13,191,3,36,1,4,7
ClassEval_32::vigenere_decipher,0,17,4,124,2,26,1,5,7,17,4,122,2,26,1,5,7,17,4,124,2,26,1,4,7,18,4,119,2,27,1,4,8,19,4,127,2,28,1,3,7
ClassEval_33::BulkItemPromo,0,6,3,41,1,17,1,4,7,6,3,41,1,17,1,4,7,6,3,41,1,17,1,3,6,6,3,41,1,17,1,4,7,6,3,41,1,17,1,4,7
ClassEval_33::FidelityPromo,0,4,2,32,1,15,1,4,7,4,2,32,1,15,1,4,7,4,2,32,1,15,1,3,6,4,2,32,1,15,1,4,7,4,2,32,1,15,1,4,7
ClassEval_33::LargeOrderPromo,0,3,3,39,1,14,1,4,7,3,3,42,1,14,1,4,7,3,3,42,1,14,1,3,6,3,3,42,1,14,1,4,7,3,3,42,1,14,1,4,7
ClassEval_33::due,0,6,2,32,1,16,1,3,8,5,2,33,1,15,1,3,9,5,2,33,1,15,1,3,9,6,2,31,1,16,1,3,8,5,2,33,1,15,1,3,9
ClassEval_33::total,0,2,2,27,1,12,1,2,6,2,2,27,1,12,1,2,6,2,2,27,1,12,1,2,6,5,2,29,1,15,1,2,6,5,2,29,1,15,1,2,6
ClassEval_34::_get_alignment_value,0,8,5,47,2,13,1,6,11,3,1,44,2,8,1,9,9,3,1,44,2,8,1,7,9,3,1,44,2,8,1,8,9,3,1,62,2,8,1,12,12
ClassEval_34::add_heading,0,8,2,46,3,14,1,5,9,8,2,46,3,14,1,5,8,8,2,46,3,14,1,3,8,8,2,46,3,14,1,5,8,8,2,46,3,14,1,5,8
ClassEval_34::add_table,0,17,8,130,2,22,1,4,8,12,5,100,2,17,1,5,8,12,5,100,2,17,1,4,8,12,5,100,2,17,1,5,8,12,5,100,2,17,1,5,8
ClassEval_34::read_text,0,9,3,46,1,13,1,4,7,9,3,46,1,13,1,3,7,9,3,46,1,13,1,3,7,9,3,46,1,13,1,4,7,9,3,46,1,13,1,4,7
ClassEval_34::write_text,0,12,2,78,4,19,1,7,12,13,2,81,4,20,1,7,11,11,3,75,4,18,1,5,10,13,2,82,4,20,1,4,11,12,2,78,4,19,1,7,11
ClassEval_35::find_blank,0,6,4,43,2,14,1,3,4,6,4,49,2,14,1,2,4,6,4,43,2,14,1,1,4,6,4,49,2,14,1,3,4,6,4,43,2,14,1,4,4
ClassEval_35::get_possible_moves,0,12,5,68,2,19,1,5,7,12,5,68,2,19,1,4,7,12,5,68,2,19,1,2,5,12,5,68,2,22,1,6,8,12,5,68,2,19,1,5,7
ClassEval_35::move,0,12,6,202,3,20,1,9,7,13,5,200,3,21,1,9,6,12,6,202,3,20,1,5,5,12,6,202,3,20,1,8,7,12,6,202,3,20,1,9,6
ClassEval_35::solve,0,20,8,152,1,27,1,2,13,21,9,168,1,32,1,6,13,20,8,152,1,31,1,1,12,21,8,156,1,40,1,12,19,20,8,152,1,31,1,6,16
ClassEval_36::clear_inbox,0,12,8,114,2,23,1,6,14,9,4,65,2,20,1,3,12,3,3,33,2,14,1,2,9,5,3,44,2,16,1,3,10,16,7,105,3,34,2,8,16
ClassEval_36::fetch,0,6,3,31,1,16,1,5,8,6,3,31,1,16,1,5,8,6,3,31,1,16,1,4,8,6,3,31,1,16,1,5,9,6,3,31,1,16,1,6,9
ClassEval_36::get_occupied_size,0,5,2,26,1,15,1,4,7,5,2,26,1,15,1,3,7,5,2,26,1,15,1,3,7,5,2,26,1,15,1,3,7,5,2,26,1,15,1,5,7
ClassEval_36::is_full_with_one_more_email,0,2,1,20,2,12,1,3,8,2,1,20,2,12,1,3,7,2,1,20,2,12,1,2,7,3,1,23,2,13,1,3,8,2,1,20,2,12,1,4,8
ClassEval_36::send_to,0,7,2,78,4,21,1,6,10,7,2,78,4,21,1,6,10,7,2,78,4,21,1,5,9,7,2,78,4,21,1,6,10,7,2,78,4,21,1,7,10
ClassEval_37::caesar_cipher,0,10,4,71,3,20,1,3,6,10,4,71,3,20,1,3,5,10,4,71,3,20,1,2,5,10,4,71,3,20,1,3,6,10,4,71,3,20,1,3,6
ClassEval_37::rail_fence_cipher,0,13,7,90,3,22,1,2,6,13,7,90,3,23,1,2,6,13,7,90,3,22,1,2,6,13,7,90,3,22,1,2,6,13,7,90,3,22,1,2,6
ClassEval_37::vigenere_cipher,0,19,4,117,2,28,1,3,8,15,4,99,2,24,1,3,7,19,4,117,2,28,1,3,8,16,4,102,2,25,1,3,7,18,4,109,2,27,1,4,7
ClassEval_38::process_excel_data,0,22,8,143,3,30,1,5,12,23,8,159,3,31,1,4,11,13,5,104,3,21,1,2,7,16,6,114,3,24,1,4,9,14,6,123,3,22,1,4,8
ClassEval_38::read_excel,0,11,3,60,2,16,1,3,6,11,3,60,2,16,1,3,6,11,3,60,2,16,1,3,6,11,3,63,2,16,1,3,8,11,3,60,2,16,1,3,6
ClassEval_38::write_excel,0,12,4,88,3,27,1,4,9,12,4,88,3,27,1,4,8,12,4,88,3,27,1,3,8,12,4,88,3,27,1,4,8,12,4,88,3,27,1,5,8
ClassEval_39::_calculate,0,19,8,95,3,29,1,4,7,17,7,85,3,27,1,4,7,19,8,101,3,29,1,5,9,19,8,95,3,29,1,3,7,19,8,95,3,29,1,4,7
ClassEval_39::calculate,0,21,6,155,2,30,1,5,13,25,7,183,2,34,1,8,18,26,7,173,2,35,1,8,16,25,7,166,2,35,1,8,16,32,10,229,2,41,1,10,15
ClassEval_39::compare,0,4,1,30,3,14,1,4,8,4,2,50,3,13,1,3,11,4,1,30,3,14,1,2,7,4,1,40,3,13,1,3,8,4,1,40,3,13,1,4,9
ClassEval_39::is_operator,0,2,1,24,1,10,1,3,5,2,1,24,1,10,1,3,5,2,1,24,1,10,1,1,5,2,1,24,1,11,1,3,6,2,1,24,1,11,1,4,6
ClassEval_39::prepare,0,40,21,304,2,47,1,6,15,30,13,219,2,38,1,6,13,28,13,199,2,36,1,4,14,35,18,280,2,43,1,5,17,49,21,300,2,57,1,7,19
ClassEval_39::transform,0,15,5,102,1,23,1,4,6,15,5,90,1,23,1,2,6,15,5,90,1,24,1,3,7,18,5,100,1,27,1,5,6,15,5,90,1,23,1,4,6
ClassEval_3::count,0,6,5,45,2,16,1,7,10,9,6,61,2,19,1,4,8,9,6,61,2,19,1,3,8,6,5,45,2,16,1,8,10,6,5,45,2,16,1,7,11
