id,prompt,summary,code,generated_code,generated_code_3
62e6087bd76274f8a4026bfa,"def pop_u16(self):
""""""
Remove the last two bytes of data, returning them as a big-endian
16-bit unsigned integer.
""""""",Remove the last two elements in self.data and return,"def pop_u16(self):
","def pop_u16(self):
    """"""
    Remove the last two bytes of data, returning them as a big-endian
    16-bit unsigned integer.
    """"""
    # Get last 2 bytes
    last_two = self.data[-2:]
    
    # Remove last 2 bytes from data
    self.data = self.data[:-2]
    
    # Convert bytes to 16-bit unsigned int using big-endian
    return int.from_bytes(last_two, byteorder='big', signed=False)",
62e6087ad76274f8a4026bf2,"def discard(self, n=-1, qid=-1, dehydration_hooks=None,
                hydration_hooks=None, **handlers):
""""""
Appends a DISCARD message to the output queue.

:param n: number of records to discard, default = -1 (ALL)
:param qid: query ID to discard for, default = -1 (last query)
:param dehydration_hooks:
    Hooks to dehydrate types (dict from type (class) to dehydration
    function). Dehydration functions receive the value and returns an
    object of type understood by packstream.
:param hydration_hooks:
    Hooks to hydrate types (mapping from type (class) to
    dehydration function). Dehydration functions receive the value of
    type understood by packstream and are free to return anything.
:param handlers: handler functions passed into the returned Response object
""""""","Appends a DISCARD message to the output queue.

:param n: number of records to discard, default = -1 (ALL)
:param qid: query ID to discard for, default = -1 (last query)
:param dehydration_hooks:
    Hooks to dehydrate types (dict from type (class) to dehydration
    function). Dehydration functions receive the value and returns an
    object of type understood by packstream.
:param hydration_hooks:
    Hooks to hydrate types (mapping from type (class) to
    dehydration function). Dehydration functions receive the value of
    type understood by packstream and are free to return anything.
:param handlers: handler functions passed into the returned Response object","def discard(self, n=-1, qid=-1, dehydration_hooks=None,
                hydration_hooks=None, **handlers):
","def discard(self, n=-1, qid=-1, dehydration_hooks=None, hydration_hooks=None, **handlers):
    """"""
    Appends a DISCARD message to the output queue.

    :param n: number of records to discard, default = -1 (ALL)
    :param qid: query ID to discard for, default = -1 (last query)
    :param dehydration_hooks:
        Hooks to dehydrate types (dict from type (class) to dehydration
        function). Dehydration functions receive the value and returns an
        object of type understood by packstream.
    :param hydration_hooks:
        Hooks to hydrate types (mapping from type (class) to
        dehydration function). Dehydration functions receive the value of
        type understood by packstream and are free to return anything.
    :param handlers: handler functions passed into the returned Response object
    """"""
    if qid == -1:
        qid = self._last_qid
        
    message = {
        ""type"": ""DISCARD"",
        ""n"": n,
        ""qid"": qid
    }
    
    # Create response object with handlers
    response = Response(
        hydration_hooks=hydration_hooks or {},
        dehydration_hooks=dehydration_hooks or {},
        **handlers
    )
    
    # Add message and response to output queue
    self._output_queue.append((message, response))
    
    return response",
62e60879d76274f8a4026bec,"def begin(self, mode=None, bookmarks=None, metadata=None, timeout=None,
              db=None, imp_user=None, dehydration_hooks=None,
              hydration_hooks=None, **handlers):
""""""
Appends a BEGIN message to the output queue.

:param mode: access mode for routing - ""READ"" or ""WRITE"" (default)
:param bookmarks: iterable of bookmark values after which this transaction should begin
:param metadata: custom metadata dictionary to attach to the transaction
:param timeout: timeout for transaction execution (seconds)
:param db: name of the database against which to begin the transaction
    Requires Bolt 4.0+.
:param imp_user: the user to impersonate
    Requires Bolt 4.4+
:param dehydration_hooks:
    Hooks to dehydrate types (dict from type (class) to dehydration
    function). Dehydration functions receive the value and returns an
    object of type understood by packstream.
:param hydration_hooks:
    Hooks to hydrate types (mapping from type (class) to
    dehydration function). Dehydration functions receive the value of
    type understood by packstream and are free to return anything.
:param handlers: handler functions passed into the returned Response object
:return: Response object
""""""","Appends a BEGIN message to the output queue.

:param mode: access mode for routing - ""READ"" or ""WRITE"" (default)
:param bookmarks: iterable of bookmark values after which this transaction should begin
:param metadata: custom metadata dictionary to attach to the transaction
:param timeout: timeout for transaction execution (seconds)
:param db: name of the database against which to begin the transaction
    Requires Bolt 4.0+.
:param imp_user: the user to impersonate
    Requires Bolt 4.4+
:param dehydration_hooks:
    Hooks to dehydrate types (dict from type (class) to dehydration
    function). Dehydration functions receive the value and returns an
    object of type understood by packstream.
:param hydration_hooks:
    Hooks to hydrate types (mapping from type (class) to
    dehydration function). Dehydration functions receive the value of
    type understood by packstream and are free to return anything.
:param handlers: handler functions passed into the returned Response object
:return: Response object","def begin(self, mode=None, bookmarks=None, metadata=None, timeout=None,
              db=None, imp_user=None, dehydration_hooks=None,
              hydration_hooks=None, **handlers):
","def begin(self, mode=None, bookmarks=None, metadata=None, timeout=None,
          db=None, imp_user=None, dehydration_hooks=None,
          hydration_hooks=None, **handlers):
    
    # Set default mode to WRITE if not specified
    if mode is None:
        mode = ""WRITE""
    
    # Validate mode
    if mode not in (""READ"", ""WRITE""):
        raise ValueError(""Mode must be either 'READ' or 'WRITE'"")

    # Build extra parameters dict
    extra = {}
    if bookmarks:
        extra[""bookmarks""] = list(bookmarks)
    if metadata:
        extra[""metadata""] = metadata
    if timeout is not None:
        extra[""timeout""] = timeout
    if db:
        extra[""db""] = db
    if imp_user:
        extra[""imp_user""] = imp_user
        
    # Add hooks if provided
    if dehydration_hooks:
        extra[""dehydration_hooks""] = dehydration_hooks
    if hydration_hooks:
        extra[""hydration_hooks""] = hydration_hooks

    # Create BEGIN message
    message = {
        ""mode"": mode
    }
    if extra:
        message.update(extra)

    # Add message to output queue and create Response
    self._append((""BEGIN"", message))
    return Response(self._connection, **handlers)",
62e60723d76274f8a4026b75,"def round_half_to_even(n):
""""""
>>> round_half_to_even(3)
    3
    >>> round_half_to_even(3.2)
    3
    >>> round_half_to_even(3.5)
    4
    >>> round_half_to_even(3.7)
    4
    >>> round_half_to_even(4)
    4
    >>> round_half_to_even(4.2)
    4
    >>> round_half_to_even(4.5)
    4
    >>> round_half_to_even(4.7)
    5

:param n:
:return:
""""""",Round a floating-point number,"def round_half_to_even(n):
","def round_half_to_even(n):
    """"""
    Rounds a number according to round-half-to-even rules.
    For numbers exactly halfway between two integers, rounds to the nearest even number.
    For all other numbers, rounds to the nearest integer.
    """"""
    # If n is already an integer, return it
    if isinstance(n, int):
        return n
        
    # Get decimal part
    decimal = n - int(n)
    
    # If decimal is exactly 0.5
    if decimal == 0.5:
        # Round to nearest even number
        if int(n) % 2 == 0:
            return int(n)
        else:
            return int(n) + 1
    
    # For all other cases, round normally
    return round(n)",
62e60707d76274f8a4026b69,"def point_type(name, fields, srid_map):
""""""
Dynamically create a Point subclass.
""""""",Dynamically Generating Point Class,"def point_type(name, fields, srid_map):
","def point_type(name, fields, srid_map):
    """"""
    Dynamically create a Point subclass.
    """"""
    class_attrs = {
        '__slots__': tuple(fields),
        '_srid_map': srid_map
    }

    def __init__(self, *args, **kwargs):
        if len(args) > len(fields):
            raise TypeError(f""{name} takes {len(fields)} positional arguments but {len(args)} were given"")
        
        # Set positional arguments
        for field, value in zip(fields, args):
            setattr(self, field, value)
            
        # Set keyword arguments
        for field, value in kwargs.items():
            if field not in fields:
                raise TypeError(f""{name} got an unexpected keyword argument '{field}'"")
            if hasattr(self, field):
                raise TypeError(f""Got multiple values for argument '{field}'"")
            setattr(self, field, value)
            
        # Check all fields are set
        for field in fields:
            if not hasattr(self, field):
                raise TypeError(f""Missing required argument: '{field}'"")

    def __repr__(self):
        args = [f""{field}={getattr(self, field)!r}"" for field in fields]
        return f""{name}({', '.join(args)})""

    def transform(self, srid):
        if srid not in self._srid_map:
            raise ValueError(f""Unknown SRID: {srid}"")
        return self._srid_map[srid](self)

    class_attrs['__init__'] = __init__
    class_attrs['__repr__'] = __repr__
    class_attrs['transform'] = transform

    return type(name, (), class_attrs)",
62e5dc9ed76274f8a4026b5b,"def deprecated(message):
""""""
Decorator for deprecating functions and methods.

::

    @deprecated(""'foo' has been deprecated in favour of 'bar'"")
    def foo(x):
        pass
""""""",Return a decorator function for deprecating functions and methods.,"def deprecated(message):
","def deprecated(message):
    def decorator(func):
        def wrapper(*args, **kwargs):
            import warnings
            warnings.warn(message, DeprecationWarning, stacklevel=2)
            return func(*args, **kwargs)
        return wrapper
    return decorator",
62e4fc3c85ea98643089041e,"def _inline_r_setup(code: str) -> str:
""""""
Some behaviour of R cannot be configured via env variables, but can
only be configured via R options once R has started. These are set here.
""""""","Some behaviour of R cannot be configured via env variables, but can
only be configured via R options once R has started. These are set here.","def _inline_r_setup(code: str) -> str:
","def _inline_r_setup(code: str) -> str:
    # Add R options configuration commands before the user's code
    r_setup = """"""
options(warn=-1)  # Suppress warnings
options(width=10000)  # Prevent line wrapping in output
options(encoding='UTF-8')  # Set encoding
""""""
    # Combine setup code with user code
    return r_setup + ""\n"" + code",
62e4fbda85ea986430890405,"def xargs(
        cmd: tuple[str, ...],
        varargs: Sequence[str],
        *,
        color: bool = False,
        target_concurrency: int = 1,
        _max_length: int = _get_platform_max_length(),
        **kwargs: Any,
) -> tuple[int, bytes]:
""""""
A simplified implementation of xargs.

color: Make a pty if on a platform that supports it
target_concurrency: Target number of partitions to run concurrently
""""""",Simplified Implementation of Xargs in Linux,"def xargs(
        cmd: tuple[str, ...],
        varargs: Sequence[str],
        *,
        color: bool = False,
        target_concurrency: int = 1,
        _max_length: int = _get_platform_max_length(),
        **kwargs: Any,
) -> tuple[int, bytes]:
","import os
import pty
import subprocess
import sys
from concurrent.futures import ThreadPoolExecutor
from typing import Any, Sequence

def xargs(
        cmd: tuple[str, ...],
        varargs: Sequence[str],
        *,
        color: bool = False,
        target_concurrency: int = 1,
        _max_length: int = _get_platform_max_length(),
        **kwargs: Any,
) -> tuple[int, bytes]:
    
    def _run_chunk(chunk: list[str]) -> tuple[int, bytes]:
        full_cmd = list(cmd) + chunk
        
        if color and sys.platform != 'win32':
            master, slave = pty.openpty()
            proc = subprocess.Popen(
                full_cmd,
                stdout=slave,
                stderr=slave,
                **kwargs
            )
            os.close(slave)
            
            output = b''
            while True:
                try:
                    chunk = os.read(master, 1024)
                    if not chunk:
                        break
                    output += chunk
                except OSError:
                    break
                    
            os.close(master)
            returncode = proc.wait()
            
        else:
            proc = subprocess.run(
                full_cmd,
                stdout=subprocess.PIPE,
                stderr=subprocess.STDOUT,
                **kwargs
            )
            output = proc.stdout
            returncode = proc.returncode
            
        return returncode, output

    # Split varargs into chunks that fit within max length
    chunks: list[list[str]] = [[]]
    current_length = 0
    
    for arg in varargs:
        arg_length = len(arg) + 1  # +1 for space
        if current_length + arg_length > _max_length:
            chunks.append([])
            current_length = 0
        chunks[-1].append(arg)
        current_length += arg_length

    # Run chunks concurrently
    with ThreadPoolExecutor(max_workers=target_concurrency) as executor:
        results = list(executor.map(_run_chunk, chunks))

    # Combine results
    final_returncode = 0
    final_output = b''
    
    for returncode, output in results:
        if returncode != 0:
            final_returncode = returncode
        final_output += output

    return final_returncode, final_output",
62e4fbda85ea986430890403,"def _shuffled(seq: Sequence[str]) -> list[str]:
""""""
Deterministically shuffle
""""""",Shuffle a given seq with the given FIXED_RANDOM_SEED,"def _shuffled(seq: Sequence[str]) -> list[str]:
","def _shuffled(seq: Sequence[str]) -> list[str]:
    """"""
    Deterministically shuffle
    """"""
    # Convert sequence to list to make it mutable
    result = list(seq)
    
    # Use a fixed seed for deterministic shuffling
    n = len(result)
    for i in range(n-1):
        # Use a deterministic formula to swap elements
        j = (i * i + n) % n
        result[i], result[j] = result[j], result[i]
        
    return result",
62e4fb6585ea98643089032b,"def parse_version(s: str) -> tuple[int, ...]:
""""""
poor man's version comparison
""""""",Converts a string concatenated by dot to a tuple consisting of integers.,"def parse_version(s: str) -> tuple[int, ...]:
","def parse_version(s: str) -> tuple[int, ...]:
    """"""
    poor man's version comparison
    """"""
    # Split version string on dots and convert each part to int
    return tuple(int(x) for x in s.split('.'))",
62e4fb4d85ea9864308902e7,"def normalize_cmd(cmd: tuple[str, ...]) -> tuple[str, ...]:
""""""
Fixes for the following issues on windows
- https://bugs.python.org/issue8557
- windows does not parse shebangs

This function also makes deep-path shebangs work just fine
""""""",Complement the full path to exe and return it in its original form,"def normalize_cmd(cmd: tuple[str, ...]) -> tuple[str, ...]:
","def normalize_cmd(cmd: tuple[str, ...]) -> tuple[str, ...]:
    """"""
    Fixes for the following issues on windows
    - https://bugs.python.org/issue8557 
    - windows does not parse shebangs

    This function also makes deep-path shebangs work just fine
    """"""
    import os
    import sys

    if not cmd:
        return cmd
        
    # Only apply fixes on Windows
    if os.name != 'nt':
        return cmd

    # Get first argument (the executable)
    exe = cmd[0]
    
    # If it's a Python file, prepend the Python interpreter
    if exe.endswith('.py'):
        return (sys.executable, exe) + cmd[1:]
        
    # Check for shebang in first line
    try:
        with open(exe, 'rb') as f:
            first_line = f.readline().decode().strip()
            if first_line.startswith('#!'):
                interpreter = first_line[2:].strip().split()[0]
                if interpreter.endswith('python'):
                    return (sys.executable, exe) + cmd[1:]
                return (interpreter, exe) + cmd[1:]
    except (IOError, UnicodeDecodeError):
        pass

    return cmd",
62b8d27a48ba5a41d1c3f4c6,"def cached(cache, key=hashkey, lock=None):
""""""
Decorator to wrap a function with a memoizing callable that saves
results in a cache.
""""""",Returns a decorator function that saves the results in the cache,"def cached(cache, key=hashkey, lock=None):
","def cached(cache, key=hashkey, lock=None):
    """"""
    Decorator to wrap a function with a memoizing callable that saves
    results in a cache.
    """"""
    def decorator(func):
        def wrapper(*args, **kwargs):
            k = key(*args, **kwargs)
            
            try:
                # Try to get result from cache
                result = cache[k]
                return result
            except KeyError:
                # Key not found, need to compute result
                if lock is not None:
                    with lock:
                        # Check cache again in case another thread computed result
                        if k in cache:
                            return cache[k]
                        result = func(*args, **kwargs)
                        cache[k] = result
                else:
                    # No lock needed, just compute and cache result
                    result = func(*args, **kwargs)
                    cache[k] = result
                    
                return result
                
        return wrapper
    return decorator",
62b8d24048ba5a41d1c3f49f,"def ttl_cache(maxsize=128, ttl=600, timer=time.monotonic, typed=False):
""""""
Decorator to wrap a function with a memoizing callable that saves
up to `maxsize` results based on a Least Recently Used (LRU)
algorithm with a per-item time-to-live (TTL) value.
""""""","Decorator to wrap a function with a memoizing callable that saves
up to `maxsize` results based on a Least Recently Used (LRU)
algorithm with a per-item time-to-live (TTL) value.","def ttl_cache(maxsize=128, ttl=600, timer=time.monotonic, typed=False):
","from functools import wraps
from collections import OrderedDict
import time

def ttl_cache(maxsize=128, ttl=600, timer=time.monotonic, typed=False):
    """"""
    Decorator to wrap a function with a memoizing callable that saves
    up to `maxsize` results based on a Least Recently Used (LRU)
    algorithm with a per-item time-to-live (TTL) value.
    """"""
    def decorator(func):
        # Create cache as ordered dictionary
        cache = OrderedDict()
        
        @wraps(func)
        def wrapper(*args, **kwargs):
            # Create cache key based on arguments
            key = str(args)
            if kwargs:
                key += str(sorted(kwargs.items()))
            if typed:
                key += str(tuple(type(arg) for arg in args))
                if kwargs:
                    key += str(tuple(type(val) for val in kwargs.values()))
                    
            # Get current time
            now = timer()
            
            # Check if key exists and hasn't expired
            if key in cache:
                result, timestamp = cache[key]
                if now - timestamp <= ttl:
                    # Move to end (most recently used)
                    cache.move_to_end(key)
                    return result
                else:
                    # Remove expired item
                    del cache[key]
                    
            # Compute new result
            result = func(*args, **kwargs)
            
            # Add to cache
            cache[key] = (result, now)
            
            # Remove oldest items if cache is too large
            while len(cache) > maxsize:
                cache.popitem(last=False)
                
            return result
            
        # Add cache clear method
        wrapper.cache_clear = cache.clear
        
        return wrapper
    return decorator",
62b8d23b48ba5a41d1c3f49a,"def mru_cache(maxsize=128, typed=False):
""""""
Decorator to wrap a function with a memoizing callable that saves
up to `maxsize` results based on a Most Recently Used (MRU)
algorithm.
""""""","Decorator to wrap a function with a memoizing callable that saves
up to `maxsize` results based on a Most Recently Used (MRU)
algorithm.","def mru_cache(maxsize=128, typed=False):
","def mru_cache(maxsize=128, typed=False):
    """"""
    Decorator to wrap a function with a memoizing callable that saves
    up to `maxsize` results based on a Most Recently Used (MRU)
    algorithm.
    """"""
    def decorator(func):
        # Store cache and order of usage
        cache = {}
        order = []
        
        def make_key(args, kwargs):
            # Create cache key from arguments
            key = (args, frozenset(kwargs.items()))
            if typed:
                # Add types to key if typed=True
                key += tuple(type(arg) for arg in args)
                key += tuple(type(val) for val in kwargs.values())
            return hash(key)
            
        def wrapper(*args, **kwargs):
            key = make_key(args, kwargs)
            
            if key in cache:
                # Move accessed item to front of order
                order.remove(key)
                order.append(key)
                return cache[key]
                
            result = func(*args, **kwargs)
            
            if len(cache) >= maxsize:
                # Remove least recently used item
                lru_key = order.pop(0)
                del cache[lru_key]
                
            # Add new result to cache
            cache[key] = result
            order.append(key)
            
            return result
            
        return wrapper
        
    return decorator",
62b8d23948ba5a41d1c3f498,"def lru_cache(maxsize=128, typed=False):
""""""
Decorator to wrap a function with a memoizing callable that saves
up to `maxsize` results based on a Least Recently Used (LRU)
algorithm.
""""""","Decorator to wrap a function with a memoizing callable that saves
up to `maxsize` results based on a Least Recently Used (LRU)
algorithm.","def lru_cache(maxsize=128, typed=False):
","from collections import OrderedDict
from functools import wraps

def lru_cache(maxsize=128, typed=False):
    def decorator(func):
        # Create ordered dictionary to store cached results
        cache = OrderedDict()
        
        @wraps(func)
        def wrapper(*args, **kwargs):
            # Create cache key based on args and kwargs
            # Include types in key if typed=True
            if typed:
                key = (tuple(type(arg) for arg in args),
                      tuple(args),
                      tuple(sorted(kwargs.items())),
                      tuple(type(v) for v in kwargs.values()))
            else:
                key = (args, tuple(sorted(kwargs.items())))
            
            # Return cached result if it exists
            if key in cache:
                # Move to end to mark as most recently used
                cache.move_to_end(key)
                return cache[key]
            
            # Calculate new result
            result = func(*args, **kwargs)
            
            # Add to cache, remove oldest item if at maxsize
            cache[key] = result
            if len(cache) > maxsize:
                cache.popitem(last=False)
                
            return result
            
        # Add cache info method
        wrapper.cache_info = lambda: {
            'maxsize': maxsize,
            'currsize': len(cache),
            'hits': sum(1 for _ in cache.values()),
            'misses': wrapper.calls - sum(1 for _ in cache.values())
        }
        
        # Add clear cache method
        wrapper.cache_clear = cache.clear
        
        # Initialize call counter
        wrapper.calls = 0
        
        return wrapper
    return decorator",
