module,error_ids,error_messages,count
62b45e145108cfac7f210a07,"missing-final-newline, missing-module-docstring, invalid-name","Final newline missing | Missing module docstring | Module name ""62b45e145108cfac7f210a07"" doesn't conform to snake_case naming style",3
62b45e145108cfac7f210a09,"missing-final-newline, missing-module-docstring, invalid-name, unused-argument","Final newline missing | Missing module docstring | Module name ""62b45e145108cfac7f210a09"" doesn't conform to snake_case naming style | Unused argument 'self'",4
62b45e165108cfac7f210a16,"line-too-long, trailing-whitespace, trailing-whitespace, missing-final-newline, missing-module-docstring, invalid-name, undefined-variable","Line too long (165/100) | Trailing whitespace | Trailing whitespace | Final newline missing | Missing module docstring | Module name ""62b45e165108cfac7f210a16"" doesn't conform to snake_case naming style | Undefined variable 'InventoryValidator'",7
62b45e165108cfac7f210a17,"line-too-long, line-too-long, trailing-whitespace, line-too-long, trailing-whitespace, trailing-whitespace, missing-final-newline, missing-module-docstring, invalid-name","Line too long (128/100) | Line too long (153/100) | Trailing whitespace | Line too long (107/100) | Trailing whitespace | Trailing whitespace | Final newline missing | Missing module docstring | Module name ""62b45e165108cfac7f210a17"" doesn't conform to snake_case naming style",9
62b45e175108cfac7f210a19,"missing-final-newline, missing-module-docstring, invalid-name, unused-argument","Final newline missing | Missing module docstring | Module name ""62b45e175108cfac7f210a19"" doesn't conform to snake_case naming style | Unused argument 'self'",4
62b45e21e0d4551b0392c8ed,"trailing-whitespace, trailing-whitespace, missing-final-newline, missing-module-docstring, invalid-name, import-outside-toplevel, no-else-return","Trailing whitespace | Trailing whitespace | Final newline missing | Missing module docstring | Module name ""62b45e21e0d4551b0392c8ed"" doesn't conform to snake_case naming style | Import outside toplevel (os) | Unnecessary ""else"" after ""return"", remove the ""else"" and de-indent the code inside it",7
62b45e23e0d4551b0392c90a,"line-too-long, trailing-whitespace, trailing-whitespace, trailing-whitespace, missing-final-newline, missing-module-docstring, invalid-name, unspecified-encoding, undefined-variable, raise-missing-from, broad-exception-raised, undefined-variable, raise-missing-from, broad-exception-raised, unused-argument","Line too long (109/100) | Trailing whitespace | Trailing whitespace | Trailing whitespace | Final newline missing | Missing module docstring | Module name ""62b45e23e0d4551b0392c90a"" doesn't conform to snake_case naming style | Using open without explicitly specifying an encoding | Undefined variable 'json' | Consider explicitly re-raising using 'except FileNotFoundError as exc' and 'raise Exception(f'Inventory file not found for version: {version}') from exc' | Raising too general exception: Exception | Undefined variable 'json' | Consider explicitly re-raising using 'except Exception as exc' and 'raise Exception(f'Error decoding JSON for inventory file: {inventory_path}') from exc' | Raising too general exception: Exception | Unused argument 'self'",15
62b45e2eb89c9fd354170232,"line-too-long, trailing-whitespace, trailing-whitespace, trailing-whitespace, trailing-whitespace, missing-final-newline, missing-module-docstring, invalid-name","Line too long (148/100) | Trailing whitespace | Trailing whitespace | Trailing whitespace | Trailing whitespace | Final newline missing | Missing module docstring | Module name ""62b45e2eb89c9fd354170232"" doesn't conform to snake_case naming style",8
62b45e515108cfac7f210a3c,"missing-final-newline, missing-module-docstring, invalid-name","Final newline missing | Missing module docstring | Module name ""62b45e515108cfac7f210a3c"" doesn't conform to snake_case naming style",3
62b45e945108cfac7f210a4a,"missing-final-newline, missing-module-docstring, invalid-name","Final newline missing | Missing module docstring | Module name ""62b45e945108cfac7f210a4a"" doesn't conform to snake_case naming style",3
62b463153879012d19481498,"missing-final-newline, missing-module-docstring, invalid-name","Final newline missing | Missing module docstring | Module name ""62b463153879012d19481498"" doesn't conform to snake_case naming style",3
62b463153879012d1948149a,"line-too-long, trailing-whitespace, missing-final-newline, missing-module-docstring, invalid-name, unused-argument","Line too long (117/100) | Trailing whitespace | Final newline missing | Missing module docstring | Module name ""62b463153879012d1948149a"" doesn't conform to snake_case naming style | Unused argument 'source'",6
62b463153879012d1948149b,"trailing-whitespace, trailing-whitespace, missing-final-newline, missing-module-docstring, invalid-name, import-outside-toplevel","Trailing whitespace | Trailing whitespace | Final newline missing | Missing module docstring | Module name ""62b463153879012d1948149b"" doesn't conform to snake_case naming style | Import outside toplevel (os)",6
62b463153879012d1948149c,"missing-final-newline, missing-module-docstring, invalid-name, import-outside-toplevel","Final newline missing | Missing module docstring | Module name ""62b463153879012d1948149c"" doesn't conform to snake_case naming style | Import outside toplevel (os)",4
62b463153879012d1948149d,"line-too-long, trailing-whitespace, trailing-whitespace, missing-final-newline, missing-module-docstring, invalid-name","Line too long (106/100) | Trailing whitespace | Trailing whitespace | Final newline missing | Missing module docstring | Module name ""62b463153879012d1948149d"" doesn't conform to snake_case naming style",6
62b463153879012d1948149f,"line-too-long, missing-final-newline, missing-module-docstring, invalid-name, import-outside-toplevel, undefined-variable, unused-argument","Line too long (117/100) | Final newline missing | Missing module docstring | Module name ""62b463153879012d1948149f"" doesn't conform to snake_case naming style | Import outside toplevel (os) | Undefined variable 'file_folder' | Unused argument 'prefix'",7
62b463153879012d194814a1,"trailing-whitespace, missing-final-newline, missing-module-docstring, invalid-name","Trailing whitespace | Final newline missing | Missing module docstring | Module name ""62b463153879012d194814a1"" doesn't conform to snake_case naming style",4
62b463163879012d194814a2,"trailing-whitespace, trailing-whitespace, missing-final-newline, missing-module-docstring, invalid-name","Trailing whitespace | Trailing whitespace | Final newline missing | Missing module docstring | Module name ""62b463163879012d194814a2"" doesn't conform to snake_case naming style",5
62b463163879012d194814a4,"line-too-long, missing-final-newline, missing-module-docstring, invalid-name, unused-import","Line too long (117/100) | Final newline missing | Missing module docstring | Module name ""62b463163879012d194814a4"" doesn't conform to snake_case naming style | Unused xml.etree.ElementTree imported as ET",5
62b463163879012d194814a6,"missing-final-newline, missing-module-docstring, invalid-name","Final newline missing | Missing module docstring | Module name ""62b463163879012d194814a6"" doesn't conform to snake_case naming style",3
62b4631b3879012d194814dd,"line-too-long, missing-final-newline, missing-module-docstring, invalid-name","Line too long (105/100) | Final newline missing | Missing module docstring | Module name ""62b4631b3879012d194814dd"" doesn't conform to snake_case naming style",4
62b463283879012d1948153d,"missing-final-newline, missing-module-docstring, invalid-name","Final newline missing | Missing module docstring | Module name ""62b463283879012d1948153d"" doesn't conform to snake_case naming style",3
62b463303879012d19481579,"trailing-whitespace, missing-final-newline, missing-module-docstring, invalid-name, import-outside-toplevel","Trailing whitespace | Final newline missing | Missing module docstring | Module name ""62b463303879012d19481579"" doesn't conform to snake_case naming style | Import outside toplevel (re)",5
62b46740d2f69a53b466171a,"missing-final-newline, missing-module-docstring, invalid-name","Final newline missing | Missing module docstring | Module name ""62b46740d2f69a53b466171a"" doesn't conform to snake_case naming style",3
62b46746d2f69a53b4661722,"line-too-long, line-too-long, trailing-whitespace, trailing-whitespace, trailing-whitespace, missing-final-newline, missing-module-docstring, invalid-name, f-string-without-interpolation, f-string-without-interpolation, f-string-without-interpolation, f-string-without-interpolation, unused-argument","Line too long (121/100) | Line too long (123/100) | Trailing whitespace | Trailing whitespace | Trailing whitespace | Final newline missing | Missing module docstring | Module name ""62b46746d2f69a53b4661722"" doesn't conform to snake_case naming style | Using an f-string that does not have any interpolated variables | Using an f-string that does not have any interpolated variables | Using an f-string that does not have any interpolated variables | Using an f-string that does not have any interpolated variables | Unused argument 'self'",13
62b86707b4d922cb0e688c2a,"missing-final-newline, missing-module-docstring, invalid-name","Final newline missing | Missing module docstring | Module name ""62b86707b4d922cb0e688c2a"" doesn't conform to snake_case naming style",3
62b86729b4d922cb0e688c2f,"line-too-long, missing-final-newline, missing-module-docstring, invalid-name","Line too long (110/100) | Final newline missing | Missing module docstring | Module name ""62b86729b4d922cb0e688c2f"" doesn't conform to snake_case naming style",4
62b869eab4d922cb0e688cbf,"line-too-long, line-too-long, missing-final-newline, missing-module-docstring, invalid-name","Line too long (178/100) | Line too long (114/100) | Final newline missing | Missing module docstring | Module name ""62b869eab4d922cb0e688cbf"" doesn't conform to snake_case naming style",5
62b869eab4d922cb0e688cc5,"line-too-long, line-too-long, missing-final-newline, missing-module-docstring, invalid-name","Line too long (203/100) | Line too long (156/100) | Final newline missing | Missing module docstring | Module name ""62b869eab4d922cb0e688cc5"" doesn't conform to snake_case naming style",5
62b869ebb4d922cb0e688cc6,"missing-final-newline, missing-module-docstring, invalid-name","Final newline missing | Missing module docstring | Module name ""62b869ebb4d922cb0e688cc6"" doesn't conform to snake_case naming style",3
62b86a01b4d922cb0e688ccc,"line-too-long, line-too-long, line-too-long, line-too-long, trailing-whitespace, line-too-long, missing-final-newline, missing-module-docstring, invalid-name","Line too long (316/100) | Line too long (147/100) | Line too long (121/100) | Line too long (184/100) | Trailing whitespace | Line too long (141/100) | Final newline missing | Missing module docstring | Module name ""62b86a01b4d922cb0e688ccc"" doesn't conform to snake_case naming style",9
62b86a4fb4d922cb0e688cf7,"missing-final-newline, missing-module-docstring, invalid-name, missing-class-docstring","Final newline missing | Missing module docstring | Module name ""62b86a4fb4d922cb0e688cf7"" doesn't conform to snake_case naming style | Missing class docstring",4
62b86a4fb4d922cb0e688cf8,"missing-final-newline, missing-module-docstring, invalid-name, missing-class-docstring","Final newline missing | Missing module docstring | Module name ""62b86a4fb4d922cb0e688cf8"" doesn't conform to snake_case naming style | Missing class docstring",4
62b86a9eb4d922cb0e688d25,"line-too-long, line-too-long, missing-final-newline, missing-module-docstring, invalid-name","Line too long (122/100) | Line too long (102/100) | Final newline missing | Missing module docstring | Module name ""62b86a9eb4d922cb0e688d25"" doesn't conform to snake_case naming style",5
62b86aa3b4d922cb0e688d36,"trailing-whitespace, missing-final-newline, missing-module-docstring, invalid-name, missing-class-docstring","Trailing whitespace | Final newline missing | Missing module docstring | Module name ""62b86aa3b4d922cb0e688d36"" doesn't conform to snake_case naming style | Missing class docstring",5
62b87af09a0c4fa8b80b34f1,"missing-final-newline, missing-module-docstring, invalid-name","Final newline missing | Missing module docstring | Module name ""62b87af09a0c4fa8b80b34f1"" doesn't conform to snake_case naming style",3
62b87af19a0c4fa8b80b34f7,"missing-final-newline, missing-module-docstring, invalid-name, missing-function-docstring","Final newline missing | Missing module docstring | Module name ""62b87af19a0c4fa8b80b34f7"" doesn't conform to snake_case naming style | Missing function or method docstring",4
62b87af69a0c4fa8b80b351a,"line-too-long, missing-final-newline, missing-module-docstring, invalid-name","Line too long (137/100) | Final newline missing | Missing module docstring | Module name ""62b87af69a0c4fa8b80b351a"" doesn't conform to snake_case naming style",4
62b87af99a0c4fa8b80b3524,"missing-final-newline, missing-module-docstring, invalid-name","Final newline missing | Missing module docstring | Module name ""62b87af99a0c4fa8b80b3524"" doesn't conform to snake_case naming style",3
62b87b099a0c4fa8b80b3538,"missing-final-newline, missing-module-docstring, invalid-name","Final newline missing | Missing module docstring | Module name ""62b87b099a0c4fa8b80b3538"" doesn't conform to snake_case naming style",3
62b87b199a0c4fa8b80b354c,"missing-final-newline, missing-module-docstring, invalid-name, no-else-return, unused-argument","Final newline missing | Missing module docstring | Module name ""62b87b199a0c4fa8b80b354c"" doesn't conform to snake_case naming style | Unnecessary ""else"" after ""return"", remove the ""else"" and de-indent the code inside it | Unused argument 'bufsize'",5
62b87b199a0c4fa8b80b354e,"trailing-whitespace, missing-final-newline, missing-module-docstring, invalid-name, undefined-variable, undefined-variable","Trailing whitespace | Final newline missing | Missing module docstring | Module name ""62b87b199a0c4fa8b80b354e"" doesn't conform to snake_case naming style | Undefined variable 'FillRequest' | Undefined variable 'SourceSequence'",6
62b87b4f9a0c4fa8b80b3580,"missing-final-newline, missing-module-docstring, invalid-name, import-outside-toplevel","Final newline missing | Missing module docstring | Module name ""62b87b4f9a0c4fa8b80b3580"" doesn't conform to snake_case naming style | Import outside toplevel (numpy)",4
62b87b4f9a0c4fa8b80b3581,"missing-final-newline, missing-module-docstring, invalid-name, protected-access, protected-access, protected-access, protected-access, undefined-variable, protected-access, protected-access, inconsistent-return-statements","Final newline missing | Missing module docstring | Module name ""62b87b4f9a0c4fa8b80b3581"" doesn't conform to snake_case naming style | Access to a protected member _scale of a client class | Access to a protected member _compute_scale of a client class | Access to a protected member _scale of a client class | Access to a protected member _scale of a client class | Undefined variable 'LenaValueError' | Access to a protected member _scale of a client class | Access to a protected member _scale of a client class | Either all return statements in a function should return an expression, or none of them should.",11
62b87b519a0c4fa8b80b3583,"missing-final-newline, missing-module-docstring, invalid-name, undefined-variable, consider-using-enumerate, inconsistent-return-statements","Final newline missing | Missing module docstring | Module name ""62b87b519a0c4fa8b80b3583"" doesn't conform to snake_case naming style | Undefined variable 'LenaValueError' | Consider using enumerate instead of iterating with range and len | Either all return statements in a function should return an expression, or none of them should.",6
62b87b7e9a0c4fa8b80b35bc,syntax-error,"Parsing failed: 'unterminated triple-quoted string literal (detected at line 6) (62b87b7e9a0c4fa8b80b35bc, line 2)'",1
62b87b839a0c4fa8b80b35cb,"missing-final-newline, missing-module-docstring, invalid-name, no-else-return","Final newline missing | Missing module docstring | Module name ""62b87b839a0c4fa8b80b35cb"" doesn't conform to snake_case naming style | Unnecessary ""else"" after ""return"", remove the ""else"" and de-indent the code inside it",4
62b87b859a0c4fa8b80b35d7,"trailing-whitespace, trailing-whitespace, trailing-whitespace, missing-final-newline, missing-module-docstring, invalid-name","Trailing whitespace | Trailing whitespace | Trailing whitespace | Final newline missing | Missing module docstring | Module name ""62b87b859a0c4fa8b80b35d7"" doesn't conform to snake_case naming style",6
62b87b869a0c4fa8b80b35e1,"missing-final-newline, missing-module-docstring, invalid-name, import-outside-toplevel, unnecessary-lambda-assignment","Final newline missing | Missing module docstring | Module name ""62b87b869a0c4fa8b80b35e1"" doesn't conform to snake_case naming style | Import outside toplevel (numpy) | Lambda expression assigned to a variable. Define a function using the ""def"" keyword instead.",5
62b87b989a0c4fa8b80b35ee,"line-too-long, missing-final-newline, missing-module-docstring, invalid-name","Line too long (109/100) | Final newline missing | Missing module docstring | Module name ""62b87b989a0c4fa8b80b35ee"" doesn't conform to snake_case naming style",4
62b87d23d292efb640a55667,"missing-final-newline, missing-module-docstring, invalid-name","Final newline missing | Missing module docstring | Module name ""62b87d23d292efb640a55667"" doesn't conform to snake_case naming style",3
62b87d23d292efb640a55668,"missing-final-newline, missing-module-docstring, invalid-name, missing-class-docstring, missing-function-docstring, too-few-public-methods","Final newline missing | Missing module docstring | Module name ""62b87d23d292efb640a55668"" doesn't conform to snake_case naming style | Missing class docstring | Missing function or method docstring | Too few public methods (1/2)",6
62b87d23d292efb640a5566b,"trailing-whitespace, trailing-whitespace, trailing-whitespace, trailing-whitespace, trailing-whitespace, missing-final-newline, missing-module-docstring, invalid-name, too-many-arguments, too-many-positional-arguments, subprocess-run-check","Trailing whitespace | Trailing whitespace | Trailing whitespace | Trailing whitespace | Trailing whitespace | Final newline missing | Missing module docstring | Module name ""62b87d23d292efb640a5566b"" doesn't conform to snake_case naming style | Too many arguments (6/5) | Too many positional arguments (6/5) | 'subprocess.run' used without explicitly defining the value for 'check'.",11
62b87d24d292efb640a5566d,"missing-final-newline, missing-module-docstring, invalid-name","Final newline missing | Missing module docstring | Module name ""62b87d24d292efb640a5566d"" doesn't conform to snake_case naming style",3
62b87d24d292efb640a5566f,"missing-final-newline, missing-module-docstring, invalid-name","Final newline missing | Missing module docstring | Module name ""62b87d24d292efb640a5566f"" doesn't conform to snake_case naming style",3
62b87d24d292efb640a55670,"missing-final-newline, missing-module-docstring, invalid-name, broad-exception-caught, import-outside-toplevel, not-an-iterable","Final newline missing | Missing module docstring | Module name ""62b87d24d292efb640a55670"" doesn't conform to snake_case naming style | Catching too general exception Exception | Import outside toplevel (pkg_resources) | Non-iterable value pkg_resources.working_set is used in an iterating context",6
62b89640755ee91dce50a114,"missing-final-newline, missing-module-docstring, invalid-name","Final newline missing | Missing module docstring | Module name ""62b89640755ee91dce50a114"" doesn't conform to snake_case naming style",3
62b8966c755ee91dce50a154,"missing-final-newline, missing-module-docstring, invalid-name, too-many-locals, import-outside-toplevel, import-outside-toplevel, too-many-branches, too-many-statements, unused-argument","Final newline missing | Missing module docstring | Module name ""62b8966c755ee91dce50a154"" doesn't conform to snake_case naming style | Too many local variables (29/15) | Import outside toplevel (datetime.datetime, datetime.timedelta, datetime.timezone) | Import outside toplevel (re) | Too many branches (22/12) | Too many statements (63/50) | Unused argument 'self'",9
62b896de755ee91dce50a183,"line-too-long, line-too-long, line-too-long, missing-final-newline, anomalous-backslash-in-string, anomalous-backslash-in-string, missing-module-docstring, invalid-name, import-outside-toplevel, unused-argument","Line too long (106/100) | Line too long (101/100) | Line too long (110/100) | Final newline missing | Anomalous backslash in string: '\*'. String constant might be missing an r prefix. | Anomalous backslash in string: '\*'. String constant might be missing an r prefix. | Missing module docstring | Module name ""62b896de755ee91dce50a183"" doesn't conform to snake_case naming style | Import outside toplevel (dateutil.parser) | Unused argument 'self'",10
62b8982f755ee91dce50a241,"line-too-long, missing-final-newline, line-too-long, missing-module-docstring, invalid-name, undefined-variable","Line too long (163/100) | Final newline missing | Line too long (106/100) | Missing module docstring | Module name ""62b8982f755ee91dce50a241"" doesn't conform to snake_case naming style | Undefined variable 'relativedelta'",6
62b8a4a4755ee91dce50a3d2,"line-too-long, trailing-whitespace, trailing-whitespace, missing-final-newline, missing-module-docstring, invalid-name, undefined-variable, no-else-return","Line too long (320/100) | Trailing whitespace | Trailing whitespace | Final newline missing | Missing module docstring | Module name ""62b8a4a4755ee91dce50a3d2"" doesn't conform to snake_case naming style | Undefined variable 'timedelta' | Unnecessary ""else"" after ""return"", remove the ""else"" and de-indent the code inside it",8
62b8a4a4755ee91dce50a3d3,"trailing-whitespace, trailing-whitespace, trailing-whitespace, missing-final-newline, missing-module-docstring, invalid-name","Trailing whitespace | Trailing whitespace | Trailing whitespace | Final newline missing | Missing module docstring | Module name ""62b8a4a4755ee91dce50a3d3"" doesn't conform to snake_case naming style",6
